teilnehmer_id;anrede;vorname;nachname;email;telefon;firma;position;branche;plz;ort;land;ticket_typ;teilnahmetage;anzahl_teilnahmetage;newsletter_opt_in;anmeldedatum_event;erstellt_am
TN-00017;Frau;Christine;Wagner;christine.wagner@hofmannsanierungsa.de;+49 7221 806073;Hofmann Sanierungs AG;Niederlassungsleiter/-in;Sanierung/Denkmalschutz;79098;Freiburg im Breisgau;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2025-12-01;2025-12-01T00:29:33
TN-00018;Frau;Barbara;Hagspiel;barbara.hagspiel@planungsbuerohagsp.de;+49 7574 542374;Planungsbüro Hagspiel;Bauleiter/-in;Wohnungswirtschaft;88131;Lindau;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-10-08;2025-10-08T06:26:15
TN-00019;Herr;Maximilian;Hagspiel;maximilian.hagspiel@ingenieurbuerohags.de;+49 9214 976638;Ingenieurbüro Hagspiel;Geschäftsführer/-in;Baustoffhandel;87534;Oberstaufen;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-09-11;2025-09-11T03:45:31
TN-00020;Herr;Frank;Krause;frank.krause@ganglputzag.de;+49 8599 378085;Gangl Putz AG;Vertriebsmitarbeiter/-in;Wohnungswirtschaft;87509;Immenstadt;DE;2-Tages-Ticket;"14.01.2026;15.01.2026";2;false;2025-10-03;2025-10-03T07:15:52
TN-00021;Frau;Sandra;Bauer;sandra.bauer@friedrichstuckhand.de;+49 7234 152578;Friedrich Stuck Handwerk GmbH;Polier/-in;Fliesenleger;89312;Günzburg;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-09-13;2025-09-13T04:04:58
TN-00022;Herr;Stefan;Köhler;stefan.koehler@weberfliesenbaugmb.de;+49 8653 225710;Weber Fliesen Bau GmbH;Polier/-in;Bauträger;87435;Kempten;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2026-01-10;2026-01-10T10:43:06
TN-00023;Herr;Hans;Meyer;hans.meyer@brutschertrockenba.de;+49 7977 378517;Brutscher Trockenbau e.K.;Einkäufer/-in;Architektur;88131;Lindau;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2026-01-09;2026-01-09T09:08:57
TN-00024;Frau;Annika;Braun;annika.braun@architekturbuerobr.de;+49 9306 204837;Architekturbüro Braun;Inhaber/-in;Trockenbau;87561;Oberstdorf;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2025-11-29;2025-11-29T07:45:55
TN-00025;Frau;Nicole;Brutscher;nicole.brutscher@hoermannmalergmbhc.de;+49 9225 837715;Hörmann Maler GmbH & Co. KG;Projektleiter/-in;Bauingenieurwesen;90402;Nürnberg;DE;Tagesticket;15.01.2026;1;false;2025-10-26;2025-10-26T16:08:15
TN-00026;Herr;Dieter;Zimmermann;dieter.zimmermann@architekturbuerozi.de;+49 7438 878480;Architekturbüro Zimmermann;Auszubildende/-r;Architektur;87459;Pfronten;DE;Tagesticket;14.01.2026;1;true;2025-10-22;2025-10-22T16:30:01
TN-00027;Herr;Wolfgang;Richter;wolfgang.richter@richterbaustoffe.de;+49 7208 196781;Richter Baustoffe;Niederlassungsleiter/-in;Dachdecker;88045;Friedrichshafen;DE;2-Tages-Ticket;"14.01.2026;15.01.2026";2;false;2025-12-05;2025-12-05T04:43:24
TN-00028;Herr;Thomas;Krüger;thomas.krueger@kruegerhandwerksbe.de;+49 9259 839945;Krüger Handwerksbetrieb;Einkäufer/-in;Trockenbau;86150;Augsburg;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2025-10-02;2025-10-02T17:01:35
TN-00029;Herr;Werner;König;werner.koenig@friedrichgartenbau.de;+49 8262 482364;Friedrich Garten Bau GmbH;Geschäftsführer/-in;Maler & Stuckateur;87459;Pfronten;DE;Tagesticket;15.01.2026;1;true;2025-11-23;2025-11-23T18:57:04
TN-00030;Herr;Martin;Hofmann;martin.hofmann@hofmannbaustoffhan.de;+49 7969 270395;Hofmann Baustoffhandel;Bauleiter/-in;Dachdecker;94032;Passau;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2025-10-01;2025-10-01T08:16:14
TN-00031;Frau;Verena;Hagspiel;verena.hagspiel@hagspielhandwerksb.de;+49 9872 213346;Hagspiel Handwerksbetrieb;Einkäufer/-in;Bauhandwerk;89077;Ulm;DE;Tagesticket;15.01.2026;1;false;2025-10-23;2025-10-23T03:24:17
TN-00032;Herr;Matthias;Riedmiller;matthias.riedmiller@riedmillerbaustoff.de;+49 9703 302511;Riedmiller Baustoffe;Einkäufer/-in;Maler & Stuckateur;80331;München;DE;Tagesticket;16.01.2026;1;true;2025-10-15;2025-10-15T12:40:18
TN-00033;Herr;Alexander;Hofmann;alexander.hofmann@hofmannbaustoffhan.de;+49 7113 220944;Hofmann Baustoffhandel;Projektleiter/-in;Architektur;93047;Regensburg;DE;2-Tages-Ticket;"14.01.2026;15.01.2026";2;false;2025-12-14;2025-12-14T10:56:47
TN-00034;Frau;Andrea;Wagner;andrea.wagner@wagnerbaustoffe.de;+49 9094 221263;Wagner Baustoffe;Einkäufer/-in;Bauingenieurwesen;70173;Stuttgart;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2025-11-25;2025-11-25T01:44:34
TN-00035;Herr;Felix;Müller;felix.mueller@hartmannputzag.de;+49 9552 429164;Hartmann Putz AG;Niederlassungsleiter/-in;Baustoffhandel;87435;Kempten;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2026-01-08;2026-01-08T07:34:19
TN-00036;Frau;Gisela;Zimmermann;gisela.zimmermann@zimmermannbaustoff.de;+49 7785 540869;Zimmermann Baustoffe;Niederlassungsleiter/-in;Dachdecker;78462;Konstanz;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-10-28;2025-10-28T17:51:11
TN-00037;Herr;Hans;Vogel;hans.vogel@zimmermannbauek.de;+49 9484 786508;Zimmermann Bau e.K.;Architekt/-in;Fliesenleger;88131;Lindau;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-11-23;2025-11-23T19:25:26
TN-00038;Herr;Konstantin;Mayer;konstantin.mayer@mayerhandwerksbetr.de;+49 9111 796101;Mayer Handwerksbetrieb;Niederlassungsleiter/-in;Bauingenieurwesen;87616;Marktoberdorf;DE;Tagesticket;14.01.2026;1;true;2026-01-07;2026-01-07T06:28:01
TN-00039;Herr;Dominik;Klein;dominik.klein@planungsbueroklein.de;+49 8946 740967;Planungsbüro Klein;Inhaber/-in;Fliesenleger;87561;Oberstdorf;DE;Tagesticket;16.01.2026;1;true;2025-09-10;2025-09-10T07:22:17
TN-00040;Herr;Rainer;Herrmann;rainer.herrmann@bergerbodenhandwer.de;+49 7896 284430;Berger Boden Handwerk GmbH;Mitarbeiter/-in Verkauf Innendienst;Trockenbau;87561;Oberstdorf;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-09-22;2025-09-22T00:43:58
TN-00041;Herr;Peter;Huber;peter.huber@winklerwaermedaemm.de;+49 8812 742412;Winkler Wärmedämm Bau GmbH;Mitarbeiter/-in Verkauf Innendienst;Trockenbau;89312;Günzburg;DE;2-Tages-Ticket;"14.01.2026;15.01.2026";2;false;2025-12-25;2025-12-25T23:00:32
TN-00042;Frau;Anja;Peters;anja.peters@petersbaustoffhand.de;+49 8135 903013;Peters Baustoffhandel;Auszubildende/-r;Fliesenleger;86150;Augsburg;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-10-19;2025-10-19T08:13:14
TN-00043;Frau;Theresa;Weber;theresa.weber@planungsbueroweber.de;+49 9212 184491;Planungsbüro Weber;Bauleiter/-in;Architektur;86150;Augsburg;DE;2-Tages-Ticket;"14.01.2026;15.01.2026";2;true;2025-11-05;2025-11-05T13:09:46
TN-00044;Herr;Tobias;Weber;tobias.weber@koenigtrockenbauag.de;+49 8720 508396;König Trockenbau AG;Polier/-in;Garten- und Landschaftsbau;79098;Freiburg im Breisgau;DE;Tagesticket;16.01.2026;1;true;2025-09-13;2025-09-13T10:10:45
TN-00045;Frau;Renate;Müller;renate.mueller@muellerbaustoffe.de;+49 9236 938722;Müller Baustoffe;Polier/-in;Bauträger;78462;Konstanz;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-11-21;2025-11-21T16:46:50
TN-00046;Frau;Franziska;Herrmann;franziska.herrmann@winklertrockenbauh.de;+49 7522 752483;Winkler Trockenbau Handwerk GmbH;Auszubildende/-r;Bauhandwerk;78462;Konstanz;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-10-03;2025-10-03T09:09:51
TN-00047;Herr;Markus;Berger;markus.berger@kochwaermedaemmgmb.de;+49 8862 442722;Koch Wärmedämm GmbH;Architekt/-in;Dachdecker;86150;Augsburg;DE;2-Tages-Ticket;"14.01.2026;15.01.2026";2;true;2025-11-13;2025-11-13T22:45:07
TN-00048;Frau;Katrin;Berchtold;katrin.berchtold@petersbaubaugmbh.de;+49 7281 919182;Peters Bau Bau GmbH;Niederlassungsleiter/-in;Bauhandwerk;87509;Immenstadt;DE;Tagesticket;16.01.2026;1;false;2025-11-08;2025-11-08T06:56:00
TN-00049;Herr;Matthias;Berchtold;matthias.berchtold@wolfbodengmbhcokg.de;+49 7892 587623;Wolf Boden GmbH & Co. KG;Mitarbeiter/-in Verkauf Innendienst;Wohnungswirtschaft;88212;Ravensburg;DE;Tagesticket;14.01.2026;1;false;2026-01-09;2026-01-09T07:54:15
TN-00050;Herr;Georg;Keller;georg.keller@kellerhandwerksbet.de;+49 7442 706794;Keller Handwerksbetrieb;Geschäftsführer/-in;Wohnungswirtschaft;87534;Oberstaufen;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-10-03;2025-10-03T03:12:14
TN-00051;Frau;Bettina;Lang;bettina.lang@wagnerfassadenhand.de;+49 7495 934904;Wagner Fassaden Handwerk GmbH;Polier/-in;Bauhandwerk;80331;München;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2026-01-12;2026-01-12T04:52:41
TN-00052;Frau;Daniela;Weber;daniela.weber@muellertrockenbaum.de;+49 8483 766459;Müller Trockenbau Meisterbetrieb;Vertriebsmitarbeiter/-in;Garten- und Landschaftsbau;79098;Freiburg im Breisgau;DE;Tagesticket;14.01.2026;1;true;2025-12-05;2025-12-05T12:30:19
TN-00053;Herr;Ralf;Berger;ralf.berger@huberhochundtiefba.de;+49 8005 971084;Huber Hoch- und Tiefbau AG;Inhaber/-in;Wohnungswirtschaft;83278;Traunstein;DE;2-Tages-Ticket;"14.01.2026;15.01.2026";2;false;2025-10-23;2025-10-23T10:48:49
TN-00054;Herr;Simon;Vogel;simon.vogel@vogelbaustoffhande.de;+49 8331 290672;Vogel Baustoffhandel;Vertriebsmitarbeiter/-in;Bauträger;70173;Stuttgart;DE;2-Tages-Ticket;"14.01.2026;16.01.2026";2;true;2025-09-06;2025-09-06T21:45:06
TN-00055;Frau;Barbara;Neumann;barbara.neumann@neumannhandwerksbe.de;+49 7782 189771;Neumann Handwerksbetrieb;Meister/-in;Garten- und Landschaftsbau;86150;Augsburg;DE;Tagesticket;14.01.2026;1;true;2025-12-18;2025-12-18T06:10:26
TN-00056;Herr;Benedikt;Berger;benedikt.berger@bergerbaustoffhand.de;+49 8656 825391;Berger Baustoffhandel;Meister/-in;Wohnungswirtschaft;87561;Oberstdorf;DE;2-Tages-Ticket;"14.01.2026;15.01.2026";2;false;2025-09-19;2025-09-19T09:39:36
TN-00057;Frau;Renate;Schulze;renate.schulze@peterssanierungsba.de;+49 8109 421517;Peters Sanierungs Bau GmbH;Projektleiter/-in;Bauträger;70173;Stuttgart;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2025-11-08;2025-11-08T15:33:21
TN-00058;Herr;Bernd;Becker;bernd.becker@beckerhandwerksbet.de;+49 8983 389930;Becker Handwerksbetrieb;Mitarbeiter/-in Verkauf Innendienst;Bauingenieurwesen;87616;Marktoberdorf;DE;Tagesticket;16.01.2026;1;false;2025-10-08;2025-10-08T12:38:44
TN-00059;Frau;Birgit;Berchtold;birgit.berchtold@hartmannfassadengm.de;+49 7518 387636;Hartmann Fassaden GmbH & Co. KG;Geschäftsführer/-in;Bauhandwerk;80331;München;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-09-04;2025-09-04T01:56:10
TN-00060;Herr;Anton;Wagner;anton.wagner@ingenieurbuerowagn.de;+49 8395 293319;Ingenieurbüro Wagner;Geschäftsführer/-in;Wohnungswirtschaft;80331;München;DE;2-Tages-Ticket;"15.01.2026;16.01.2026";2;false;2025-12-01;2025-12-01T11:32:53
TN-00061;Frau;Karin;Riedmiller;karin.riedmiller@weberhochundtiefba.de;+49 7611 950544;Weber Hoch- und Tiefbau Bau GmbH;Polier/-in;Wohnungswirtschaft;84028;Landshut;DE;Tagesticket;14.01.2026;1;true;2026-01-12;2026-01-12T15:05:37
TN-00062;Herr;Peter;Schulze;peter.schulze@ingenieurbueroschu.de;+49 9140 498855;Ingenieurbüro Schulze;Vertriebsmitarbeiter/-in;Fliesenleger;94032;Passau;DE;Tagesticket;16.01.2026;1;true;2025-12-30;2025-12-30T10:02:18
TN-00063;Frau;Lisa;Vogel;lisa.vogel@ingenieurbuerovoge.de;+49 8083 792509;Ingenieurbüro Vogel;Inhaber/-in;Architektur;87534;Oberstaufen;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2025-10-11;2025-10-11T16:21:42
TN-00064;Herr;Frank;Müller;frank.mueller@schwarzhochundtief.de;+49 9879 576086;Schwarz Hoch- und Tiefbau GmbH;Inhaber/-in;Sanierung/Denkmalschutz;89077;Ulm;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2025-10-27;2025-10-27T06:39:57
TN-00065;Frau;Cornelia;Winkler;cornelia.winkler@planungsbuerowinkl.de;+49 9652 256226;Planungsbüro Winkler;Projektleiter/-in;Architektur;79098;Freiburg im Breisgau;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2025-09-23;2025-09-23T14:53:46
TN-00066;Herr;Dominik;Keller;dominik.keller@ingenieurbuerokell.de;+49 9820 418862;Ingenieurbüro Keller;Mitarbeiter/-in Verkauf Innendienst;Dachdecker;80331;München;DE;Tagesticket;15.01.2026;1;false;2025-11-25;2025-11-25T14:36:12
TN-00067;Frau;Theresa;Meyer;theresa.meyer@meyerbaustoffhande.de;+49 7374 340044;Meyer Baustoffhandel;Niederlassungsleiter/-in;Bauingenieurwesen;70173;Stuttgart;DE;2-Tages-Ticket;"14.01.2026;15.01.2026";2;false;2025-12-27;2025-12-27T13:30:34
TN-00068;Herr;Alexander;Vogel;alexander.vogel@mayerfliesenbaugmb.de;+49 7743 713762;Mayer Fliesen Bau GmbH;Einkäufer/-in;Sanierung/Denkmalschutz;84028;Landshut;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-11-26;2025-11-26T04:56:18
TN-00069;Herr;Benedikt;Hofmann;benedikt.hofmann@winklertrockenbaug.de;+49 9029 402218;Winkler Trockenbau GmbH;Niederlassungsleiter/-in;Dachdecker;87616;Marktoberdorf;DE;2-Tages-Ticket;"15.01.2026;16.01.2026";2;false;2025-11-04;2025-11-04T08:59:47
TN-00070;Herr;Simon;Meyer;simon.meyer@beckertrockenbaume.de;+49 7004 789606;Becker Trockenbau Meisterbetrieb;Auszubildende/-r;Fliesenleger;78462;Konstanz;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2025-12-10;2025-12-10T06:11:32
TN-00071;Herr;Ralf;Hartmann;ralf.hartmann@hartmannbaustoffha.de;+49 7833 380028;Hartmann Baustoffhandel;Auszubildende/-r;Architektur;84028;Landshut;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-11-26;2025-11-26T04:03:36
TN-00072;Frau;Ursula;Becker;ursula.becker@langfassadengmbhco.de;+49 8671 197736;Lang Fassaden GmbH & Co. KG;Meister/-in;Baustoffhandel;80331;München;DE;Tagesticket;14.01.2026;1;false;2025-12-17;2025-12-17T07:05:45
TN-00073;Herr;Werner;Herrmann;werner.herrmann@herrmannbaustoffe.de;+49 8976 595158;Herrmann Baustoffe;Meister/-in;Fliesenleger;88045;Friedrichshafen;DE;2-Tages-Ticket;"15.01.2026;16.01.2026";2;false;2025-10-24;2025-10-24T10:15:08
TN-00074;Frau;Christine;Stark;christine.stark@starkhandwerksbetr.de;+49 8699 456385;Stark Handwerksbetrieb;Auszubildende/-r;Wohnungswirtschaft;87459;Pfronten;DE;2-Tages-Ticket;"14.01.2026;15.01.2026";2;false;2025-09-14;2025-09-14T21:20:18
TN-00075;Frau;Lisa;Berchtold;lisa.berchtold@berchtoldhandwerks.de;+49 8983 461888;Berchtold Handwerksbetrieb;Architekt/-in;Trockenbau;88212;Ravensburg;DE;2-Tages-Ticket;"15.01.2026;16.01.2026";2;false;2025-09-30;2025-09-30T04:30:17
TN-00076;Frau;Annika;Brutscher;annika.brutscher@beckputzgmbhcokg.de;+49 8682 145767;Beck Putz GmbH & Co. KG;Architekt/-in;Garten- und Landschaftsbau;83278;Traunstein;DE;Tagesticket;16.01.2026;1;false;2025-11-14;2025-11-14T16:46:24
TN-00077;Frau;Tanja;Winkler;tanja.winkler@winklerhandwerksbe.de;+49 7517 626690;Winkler Handwerksbetrieb;Polier/-in;Maler & Stuckateur;87459;Pfronten;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-12-06;2025-12-06T12:23:55
TN-00078;Frau;Birgit;Walter;birgit.walter@architekturbuerowa.de;+49 7632 178463;Architekturbüro Walter;Vertriebsmitarbeiter/-in;Wohnungswirtschaft;87459;Pfronten;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2025-11-19;2025-11-19T22:38:19
TN-00079;Frau;Stefanie;Settele;stefanie.settele@braunnatursteinhan.de;+49 7280 346174;Braun Naturstein Handwerk GmbH;Niederlassungsleiter/-in;Sanierung/Denkmalschutz;88212;Ravensburg;DE;Tagesticket;14.01.2026;1;false;2025-12-15;2025-12-15T09:19:02
TN-00080;Herr;Markus;Lehmann;markus.lehmann@lehmannhandwerksbe.de;+49 8226 130353;Lehmann Handwerksbetrieb;Geschäftsführer/-in;Maler & Stuckateur;87534;Oberstaufen;DE;Tagesticket;15.01.2026;1;false;2025-11-26;2025-11-26T11:41:30
TN-00081;Frau;Ines;Hartmann;ines.hartmann@walterfassadenag.de;+49 7696 283573;Walter Fassaden AG;Inhaber/-in;Bauingenieurwesen;83278;Traunstein;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2026-01-11;2026-01-11T17:25:12
TN-00082;Herr;Anton;Stark;anton.stark@planungsbuerostark.de;+49 8045 799233;Planungsbüro Stark;Geschäftsführer/-in;Fliesenleger;75173;Pforzheim;DE;2-Tages-Ticket;"14.01.2026;15.01.2026";2;false;2026-01-03;2026-01-03T04:51:03
TN-00083;Herr;Christian;Schmitt;christian.schmitt@ingenieurbueroschm.de;+49 9827 362246;Ingenieurbüro Schmitt;Vertriebsmitarbeiter/-in;Wohnungswirtschaft;80331;München;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2026-01-03;2026-01-03T09:40:12
TN-00084;Frau;Renate;Wagner;renate.wagner@vogelgartenek.de;+49 9696 515032;Vogel Garten e.K.;Projektleiter/-in;Bauhandwerk;80331;München;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-09-05;2025-09-05T14:14:45
TN-00085;Herr;Georg;Peters;georg.peters@weissmassivbaumeis.de;+49 7897 767542;Weiß Massivbau Meisterbetrieb;Meister/-in;Bauingenieurwesen;89077;Ulm;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2025-12-28;2025-12-28T05:07:40
TN-00086;Herr;Martin;Eberle;martin.eberle@architekturbueroeb.de;+49 8494 867934;Architekturbüro Eberle;Bauleiter/-in;Baustoffhandel;80331;München;DE;Tagesticket;14.01.2026;1;false;2025-11-25;2025-11-25T22:23:05
TN-00087;Frau;Verena;Koch;verena.koch@waltergartenbaugmb.de;+49 8973 945664;Walter Garten Bau GmbH;Projektleiter/-in;Garten- und Landschaftsbau;86150;Augsburg;DE;2-Tages-Ticket;"14.01.2026;15.01.2026";2;false;2025-10-03;2025-10-03T06:49:57
TN-00088;Herr;Simon;Weber;simon.weber@ganglfassadenhandw.de;+49 9282 483542;Gangl Fassaden Handwerk GmbH;Inhaber/-in;Dachdecker;93047;Regensburg;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2025-11-17;2025-11-17T12:04:18
TN-00089;Herr;Simon;Hartmann;simon.hartmann@hartmannhandwerksb.de;+49 9615 489518;Hartmann Handwerksbetrieb;Inhaber/-in;Sanierung/Denkmalschutz;86150;Augsburg;DE;2-Tages-Ticket;"15.01.2026;16.01.2026";2;true;2025-12-23;2025-12-23T20:14:50
TN-00090;Herr;Hans;Hörmann;hans.hoermann@hoermannbaustoffe.de;+49 9602 963874;Hörmann Baustoffe;Vertriebsmitarbeiter/-in;Garten- und Landschaftsbau;94032;Passau;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;true;2025-10-14;2025-10-14T07:38:45
TN-00091;Frau;Karin;Schulz;karin.schulz@zimmermannstuckag.de;+49 9201 242254;Zimmermann Stuck AG;Einkäufer/-in;Fliesenleger;87534;Oberstaufen;DE;Tagesticket;16.01.2026;1;true;2025-09-20;2025-09-20T04:56:51
TN-00092;Frau;Cornelia;Peters;cornelia.peters@petersbaustoffhand.de;+49 9521 527940;Peters Baustoffhandel;Projektleiter/-in;Bauhandwerk;84028;Landshut;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-09-20;2025-09-20T13:28:27
TN-00093;Herr;Maximilian;Schmitt;maximilian.schmitt@schmittbaustoffe.de;+49 9641 476096;Schmitt Baustoffe;Geschäftsführer/-in;Dachdecker;87534;Oberstaufen;DE;2-Tages-Ticket;"14.01.2026;15.01.2026";2;true;2026-01-12;2026-01-12T11:30:05
TN-00094;Herr;Simon;Meyer;simon.meyer@meyerhandwerksbetr.de;+49 7207 925013;Meyer Handwerksbetrieb;Architekt/-in;Bauträger;84028;Landshut;DE;3-Tages-Ticket;"14.01.2026;15.01.2026;16.01.2026";3;false;2025-12-26;2025-12-26T06:54:06
